kickX,kickZ,kickAngle,goalZ,Outcome,KickPleas,KickArou,GoalPleas,GoalArou
1.081044,0.113477,27,-0.404326,O,-0.652644,-0.096873,0.5,-0.472556
1.05888,0.074415,6,0.00431,G,0.575382,0.716078,-1,0.986295
1.102871,0.129391,36,-0.254897,O,-0.804122,-0.490718,0.5,0.077343
1.085764,0.114677,27,-0.200516,O,-0.66196,-0.121096,0.5,0.271378
1.050561,-0.055307,-36,-0.501888,O,-0.743523,-0.333159,0.5,-0.823848
1.073799,0.09809,21,-0.199018,O,-0.54884,0.173017,0.5,0.276584
1.05681,0.08447,9,0.495783,G,1,0.646077,-1,-0.806362
1.055084,0.078483,6,-0.404758,G,0.359853,0.77518,-1,-0.471807
1.051469,0.050503,-3,0.497955,G,0.458796,0.730583,-1,-0.813872
1.040942,0.006418,-18,-0.204355,G,1,0.449083,-1,0.25907
1.086617,0.120593,30,-0.00149,O,-0.732858,-0.30543,0.5,0.995119
1.094469,0.115613,30,0.348476,O,-0.713373,-0.25477,0.5,-0.26672
1.063469,0.087148,15,0.145879,G,1,0.407984,-1,0.470305
1.042358,0.034799,-9,0.100471,G,0.320465,0.739294,-1,0.634641
1.063125,0.094494,15,-0.50177,D,-0.3,0.424044,1,-0.823548
1.042792,0.026823,-12,0.150735,G,0.437262,0.630429,-1,0.451127
1.042657,0.026247,-12,-0.053116,G,1,0.544438,-1,0.806615
1.053509,-0.030227,-30,0.152515,O,-0.643619,-0.073409,0.5,0.447006
1.092518,0.120815,30,0.248814,O,-0.696447,-0.210763,0.5,0.09559
1.091359,0.118612,33,0.400353,O,-0.744369,-0.335358,0.5,-0.45725
1.079283,0.105126,24,-0.254086,O,-0.607687,0.020013,0.5,0.070966
1.045331,0.028359,-9,-0.396501,G,1,0.750195,-1,-0.441588
1.060815,0.084311,12,-0.104476,G,0.924216,0.43338,-1,0.619955
1.040052,0.007836,-18,0.25036,G,0.751627,0.373912,-1,0.089911
1.073465,0.159704,15,0.450781,G,1,0.506487,-1,-0.638706
1.0581,-0.051665,-36,-0.101777,O,-0.726654,-0.289299,0.5,0.627923
1.045189,0.038193,-6,0.445684,G,0.615776,0.862171,-1,-0.62079
1.05866,0.071991,6,-0.102646,G,0.495336,0.649398,-1,0.625693
1.050282,-0.047403,-36,0.397994,O,-0.782745,-0.435137,0.5,-0.449712
1.045348,0.049752,-3,-0.401675,G,0.882435,0.960394,-1,-0.460404
1.053826,0.059039,0,0.40401,G,0.9093,0.949279,-1,-0.468833
1.075247,0.102811,21,0.153734,O,-0.590642,0.064332,0.5,0.440898
1.041714,0.008958,-15,-0.446093,G,1,0.487543,-1,-0.623905
1.047635,0.0586,0,-0.352473,G,0.594118,0.944508,-1,-0.282001
1.051354,-0.046699,-36,-0.096375,O,-0.750243,-0.350632,0.5,0.649149
1.059035,0.078887,9,-0.201765,G,0.458207,0.568986,-1,0.265779
1.046365,0.039265,-6,0.398732,G,0.521521,0.861955,-1,-0.450203
1.066402,0.08763,12,0.400366,G,1,0.510284,-1,-0.453196
1.010329,0.0234,-30,0.050101,O,-0.604407,0.028542,0.5,0.821183
1.040691,0.017326,-15,-0.254769,G,1,0.500308,-1,0.074573
1.043784,0.033033,-9,0.048931,G,0.445962,0.72791,-1,0.821423
1.04592,-0.030609,-30,-0.295406,O,-0.660875,-0.118274,0.5,-0.072874
1.050733,-0.041527,-33,-0.104876,O,-0.677244,-0.160835,0.5,0.620794
1.05844,-0.05123,-36,0.401771,O,-0.83088,-0.560288,0.5,-0.457746
1.041084,-0.002602,-21,0.503526,O,-0.54664,0.178736,0.5,-0.829823
1.08878,0.174287,24,-0.003522,O,-0.608105,0.018928,0.5,0.987771
1.051037,-0.036063,-30,-0.450879,O,-0.647173,-0.082649,0.5,-0.637171
1.050943,-0.050289,-36,0.354791,O,-0.752613,-0.356795,0.5,-0.288099
1.066299,0.095353,18,0.204107,G,1,0.422597,-1,0.256478
1.040188,0.007224,-18,-0.253541,G,1,0.401692,-1,0.078048
1.054016,0.080553,9,0.004927,G,0.768647,0.620721,-1,0.981656
1.094143,0.117996,30,0.301653,O,-0.693126,-0.202128,0.5,-0.096159
1.045775,-0.007061,-21,-0.355049,O,-0.550706,0.168166,0.5,-0.289707
1.040806,-0.003031,-21,-0.150529,R,-0.4,0.387797,0.650617,0.452301
1.078341,0.102028,21,-0.504926,O,-0.562689,0.137007,0.5,-0.807589
1.048741,0.068322,3,-0.246843,D,-0.3,0.854004,1,0.097183
1.054722,0.073902,6,-0.301644,D,-0.3,0.712878,1,-0.10096
1.046473,0.031036,-9,0.454091,G,0.389925,0.741049,-1,-0.650596
1.058227,0.151513,12,0.497013,G,1,0.517452,-1,-0.807635
1.040729,0.025853,-12,-0.198539,G,1,0.60841,-1,0.276527
1.059614,0.071044,6,0.5021,G,1,0.729732,-1,-0.827034
1.073179,0.096476,18,0.503734,G,1,0.382423,-1,-0.835801
1.066968,0.093445,15,0.199486,G,1,0.398186,-1,0.273791
1.042081,-0.005427,-21,0.099755,R,-0.4,0.293105,0.599733,0.637335
1.000155,0.004017,-33,-0.200257,O,-0.699681,-0.219172,0.5,0.271387
1.048172,-0.00926,-21,0.45228,O,-0.544596,0.18405,0.5,-0.644994
1.042481,-0.015823,-24,0.44632,R,-0.4,0.258491,0.947363,-0.626774
1.076691,0.107324,24,0.451759,O,-0.584851,0.079388,0.5,-0.64282
1.057203,0.077722,9,-0.346696,D,-0.3,0.627489,1,-0.260215
1.049383,-0.019793,-24,0.000048,O,-0.547261,0.177122,0.5,0.998882
1.089715,0.108098,27,0.10411,O,-0.692224,-0.199783,0.5,0.61807
1.046614,-0.001465,-21,-0.304096,O,-0.559423,0.145501,0.5,-0.107213
1.041729,0.009808,-15,-0.402289,G,1,0.541263,-1,-0.464066
1.047204,0.022718,-12,0.304776,D,-0.3,0.651868,1,-0.109204
1.038815,0.045126,-6,-0.248154,G,1,0.696073,-1,0.098984
1.076799,0.105213,24,0.046389,O,-0.603773,0.030189,0.5,0.83138
1.043189,-0.018864,-24,-0.497989,O,-0.549843,0.170409,0.5,-0.81121
1.046268,-0.011397,-24,0.10443,O,-0.544298,0.184824,0.5,0.620723
1.10051,0.120607,36,0.046726,O,-0.796563,-0.471064,0.5,0.831646
1.101963,0.11927,33,0.047361,O,-0.755271,-0.363706,0.5,0.82792
1.070393,0.100695,21,-0.004821,O,-0.549256,0.171933,0.5,0.982466
1.048292,-0.032755,-30,-0.051165,O,-0.649661,-0.089118,0.5,0.813278
1.055252,-0.053195,-36,0.197953,O,-0.718679,-0.268566,0.5,0.279499
1.053151,-0.034669,-30,0.245554,O,-0.638234,-0.059408,0.5,0.104731
1.051723,0.042157,-6,0.40423,G,0.463636,0.827476,-1,-0.470334
1.088393,0.114696,27,0.048595,O,-0.647312,-0.083011,0.5,0.823578
1.092618,0.117256,30,0.39667,O,-0.621969,-0.017119,0.5,-0.439861
1.047729,0.00034,-18,-0.10135,R,-0.4,0.380538,0.601024,0.63264
1.046214,-0.012587,-24,0.447484,O,-0.552004,0.164789,0.5,-0.627335
1.043294,0.049577,-3,-0.150494,G,0.437919,0.9316,-1,0.452512
1.051972,0.065929,3,-0.295287,G,0.516691,0.962664,-1,-0.075206
1.093125,0.12369,33,0.500246,O,-0.753338,-0.358678,0.5,-0.822836
1.056507,0.06966,3,0.047041,G,0.404183,0.843913,-1,0.83271
1.050943,-0.050408,-36,0.046609,O,-0.71495,-0.258871,0.5,0.828449
1.077929,0.099112,21,-0.35066,O,-0.545224,0.182418,0.5,-0.275011
1.052514,-0.044609,-33,0.499206,O,-0.678109,-0.163082,0.5,-0.819128
1.048208,-0.019256,-24,0.149867,O,-0.548432,0.174077,0.5,0.456139
1.052495,0.060478,0,0.496888,G,1,0.936918,-1,-0.806697
1.045828,-0.034116,-30,-0.00219,O,-0.646074,-0.079793,0.5,0.990222
1.054564,0.074641,6,-0.3463,G,0.251872,0.779602,-1,-0.259396
1.093937,0.121371,30,0.047402,O,-0.717063,-0.264364,0.5,0.830168
1.078308,0.103486,24,-0.504457,O,-0.609048,0.016476,0.5,-0.834092
1.050609,0.133466,3,0.498223,G,1,0.920494,-1,-0.813934
1.076469,0.104208,24,0.34586,O,-0.598305,0.044408,0.5,-0.257021
1.050799,-0.015354,-24,-0.396972,O,-0.548477,0.17396,0.5,-0.44054
1.096588,0.178555,27,-0.14529,O,-0.650086,-0.090225,0.5,0.471606
1.093669,0.120801,30,-0.299152,O,-0.718193,-0.267303,0.5,-0.090195
1.076885,0.106093,24,0.198512,O,-0.627394,-0.031224,0.5,0.278313
1.09432,0.122078,33,-0.051078,O,-0.760381,-0.37699,0.5,0.815647
1.050287,0.056879,-3,0.499087,G,1,0.972227,-1,-0.813731
1.055236,0.075763,6,-0.348378,G,0.436301,0.869619,-1,-0.267389
1.072519,0.09788,21,0.499273,O,-0.541158,0.192989,0.5,-0.821046
1.049093,0.067728,3,0.196903,G,0.729348,0.832322,-1,0.28365
1.100796,0.12735,36,-0.146509,O,-0.779998,-0.427994,0.5,0.463704
1.090317,0.1158,27,0.051699,O,-0.65878,-0.112829,0.5,0.811461
1.059699,0.076219,6,0.497612,G,1,0.680145,-1,-0.809975
1.093048,0.124832,33,0.404358,O,-0.756397,-0.366633,0.5,-0.473733
1.051487,0.070557,3,-0.453173,G,0.477832,0.785389,-1,-0.649189
1.048104,0.067717,3,0.297069,G,0.971992,0.810984,-1,-0.079928
1.095075,0.115954,30,0.44521,O,-0.70018,-0.220468,0.5,-0.619288
1.061799,0.08911,12,0.452874,G,1,0.491089,-1,-0.648817
1.093118,0.118908,30,0.399115,O,-0.700176,-0.220459,0.5,-0.451133
1.051978,-0.037687,-30,-0.452854,O,-0.622681,-0.018971,0.5,-0.646706
1.049792,0.040528,-6,-0.351332,G,1,0.846638,-1,-0.277815
1.096221,0.124802,33,0.0456,O,-0.752153,-0.355598,0.5,0.831963
1.044688,-0.010435,-21,0.449509,R,-0.4,0.386433,0.05056,-0.634327
1.044489,0.047503,-3,0.000973,D,-0.3,0.985456,1,0.998322
1.046091,-0.01909,-24,-0.400179,O,-0.550791,0.167944,0.5,-0.459072
1.042503,0.006064,-18,0.151103,G,0.905492,0.395775,-1,0.449167
1.140129,0.184138,36,0.196182,O,-0.722073,-0.277389,0.5,0.289311
1.053288,-0.054975,-36,0.397565,O,-0.696222,-0.210176,0.5,-0.449256
1.046184,-0.029914,-30,0.351388,O,-0.653077,-0.097999,0.5,-0.279953
1.043061,0.04378,-6,-0.352971,G,1,0.841206,-1,-0.283499
1.046788,-0.016935,-24,-0.20298,O,-0.586323,0.07556,0.5,0.260106
1.053522,0.064253,3,0.503863,G,1,0.815233,-1,-0.834059
1.049389,0.057352,-3,-0.152779,G,0.556478,0.874755,-1,0.443658
1.044499,0.02937,-9,-0.196407,G,0.942022,0.725595,-1,0.285068
1.048436,-0.035093,-30,0.349324,O,-0.657992,-0.110779,0.5,-0.273385
1.066613,0.099046,18,-0.201712,D,-0.3,0.309347,1,0.26747
1.048854,0.018382,-12,0.147389,G,0.581712,0.562261,-1,0.46588
1.082862,0.110613,27,0.299786,O,-0.574936,0.105166,0.5,-0.093041
1.081704,0.10792,24,0.304909,O,-0.626502,-0.028906,0.5,-0.109042
1.054921,0.071815,6,-0.045528,G,0.546522,0.681075,-1,0.83395
1.081371,0.110373,24,-0.395417,O,-0.563643,0.134528,0.5,-0.437199
1.047862,0.023129,-12,-0.297217,G,1,0.630797,-1,-0.080851
1.05497,-0.053336,-36,-0.054307,O,-0.690941,-0.196447,0.5,0.801671
1.102001,0.123027,33,-0.24817,O,-0.755228,-0.363594,0.5,0.099185
1.101699,0.129458,36,0.254405,O,-0.793876,-0.464079,0.5,0.075219
1.053024,0.071126,6,0.300356,G,1,0.727711,-1,-0.09058
1.043387,0.054445,-3,-0.345263,G,0.794861,0.947655,-1,-0.254858
1.040903,-0.001284,-18,0.200168,G,0.840498,0.380253,-1,0.274552
1.052604,0.076751,6,-0.15337,D,-0.3,0.760733,1,0.443667
1.088757,0.115586,30,-0.400719,O,-0.705427,-0.234111,0.5,-0.460792
1.041322,0.017168,-15,-0.502879,G,1,0.567831,-1,-0.827377
1.049977,-0.020121,-27,0.001342,O,-0.558153,0.148803,0.5,0.992241
1.102434,0.125986,36,-0.048689,O,-0.814488,-0.517668,0.5,0.824442
1.069165,0.087562,15,0.503786,G,1,0.385341,-1,-0.833919
1.065423,0.090534,15,0.297956,G,1,0.392168,-1,-0.084291
1.104317,0.126823,36,-0.252734,O,-0.823516,-0.541142,0.5,0.079383
1.064072,0.080943,12,-0.301698,G,0.410418,0.492857,-1,-0.097942
1.044245,0.009625,-15,0.447531,D,-0.3,0.550357,1,-0.627568
1.055266,0.071093,3,-0.403813,G,0.249502,0.721067,-1,-0.467941
1.045083,0.041348,-6,0.303856,G,0.374787,0.883529,-1,-0.104959
1.081665,0.112706,27,-0.345988,O,-0.63117,-0.041041,0.5,-0.260999
1.046726,-0.038818,-33,-0.504224,O,-0.708881,-0.243091,0.5,-0.823155
1.062867,0.090485,15,-0.200848,G,0.819054,0.390338,-1,0.272234
1.051683,0.053895,-3,-0.099239,G,0.36067,0.91873,-1,0.639764
1.047701,0.015904,-15,-0.004041,G,0.972592,0.517461,-1,0.986337
1.058679,0.08445,9,-0.254231,G,0.408199,0.541593,-1,0.075246
1.072041,0.100174,21,-0.495401,O,-0.56738,0.124811,0.5,-0.800808
1.045542,-0.020164,-27,-0.003286,O,-0.600083,0.039784,0.5,0.989127
1.042792,-0.026818,-27,-0.053819,O,-0.612808,0.006699,0.5,0.806919
1.094927,0.122026,33,-0.146575,O,-0.757807,-0.370298,0.5,0.469682
1.075468,0.103374,21,0.395109,O,-0.553995,0.159612,0.5,-0.437065
1.047679,0.013151,-15,0.299223,G,0.358099,0.522187,-1,-0.086412
1.043499,0.002837,-18,0.299171,G,0.62538,0.388585,-1,-0.086274
1.047183,0.048208,-3,-0.099533,G,0.323353,0.937895,-1,0.637923
1.043165,-0.004403,-21,-0.251073,R,-0.4,0.304358,0.7512,0.086545
1.011838,0.042439,-24,0.102374,R,-0.4,0.237878,0.602629,0.626805
1.048589,-0.003924,-21,-0.35484,O,-0.562656,0.137094,0.5,-0.28868
1.048176,0.004557,-18,-0.448989,R,-0.4,0.258797,0.051068,-0.63248
1.019567,0.082098,-12,-0.1021,G,0.917485,0.643581,-1,0.627914
1.095477,0.174556,27,-0.054446,O,-0.644083,-0.074617,0.5,0.798885
1.048188,-0.034247,-30,-0.098777,O,-0.636938,-0.056039,0.5,0.644055
1.043349,0.012152,-15,-0.354392,G,1,0.400617,-1,-0.28891
1.049195,0.032673,-9,0.201089,D,-0.3,0.76193,1,0.267705
1.094178,0.123165,33,0.149621,O,-0.760329,-0.376854,0.5,0.455398
1.097684,0.179263,27,0.000628,O,-0.660311,-0.116808,0.5,0.994776
1.058774,0.071803,6,-0.403902,G,0.283332,0.73783,-1,-0.468495
1.080128,0.11061,24,0.354924,O,-0.556632,0.152758,0.5,-0.289267
1.048956,-0.018364,-24,0.502355,R,-0.4,0.240453,1.003938,-0.8325
1.050793,-0.0309,-30,-0.146359,O,-0.652526,-0.096569,0.5,0.46808
1.079064,0.096771,21,0.095427,O,-0.561666,0.139668,0.5,0.65127
1.066146,0.084441,12,-0.096794,G,0.758389,0.524719,-1,0.650595
1.050656,-0.0519,-36,-0.450876,O,-0.704153,-0.230799,0.5,-0.64004
1.047717,0.038981,-6,0.05084,G,0.339242,0.779589,-1,0.815307
1.058559,0.088786,15,0.496845,G,1,0.387219,-1,-0.806646
1.094755,0.117371,33,-0.2534,O,-0.746984,-0.342157,0.5,0.078009
1.049694,0.069016,3,0.147414,G,0.753336,0.770725,-1,0.464025
1.049742,0.039027,-6,-0.352548,G,1,0.775396,-1,-0.285298
1.041324,-0.006839,-21,0.000112,R,-0.4,0.316481,0.499171,0.996986
1.009536,0.050684,-21,-0.497598,O,-0.587634,0.072152,0.5,-0.812937
1.048385,-0.010675,-24,0.300615,R,-0.4,0.314328,0.200014,-0.090857
1.010737,0.042884,-24,-0.048406,O,-0.544742,0.18367,0.5,0.824078
1.072388,0.098709,21,-0.446498,O,-0.594323,0.054761,0.5,-0.624933
1.062308,0.094053,15,-0.404116,G,0.398199,0.396721,-1,-0.469743
1.058683,-0.048979,-36,-0.301656,O,-0.710656,-0.247705,0.5,-0.097093
1.043358,-0.023376,-27,0.003168,O,-0.581435,0.08827,0.5,0.988389
1.078247,0.102696,24,-0.396101,D,-0.3,0.291322,1,-0.440978
1.057826,0.084225,9,0.149287,G,1,0.571989,-1,0.458606
1.099366,0.123975,33,-0.045733,O,-0.761802,-0.380684,0.5,0.833196
1.093876,0.121561,33,-0.499061,O,-0.758675,-0.372554,0.5,-0.815788
1.052576,-0.028802,-30,0.051299,O,-0.636484,-0.054858,0.5,0.813375
1.068049,0.08775,15,0.399186,G,1,0.411539,-1,-0.455438
1.07115,0.098214,18,-0.201647,O,-0.590596,0.064451,0.5,0.263985
1.107787,0.124226,36,0.447656,O,-0.820045,-0.532116,0.5,-0.628311
1.052734,0.060859,0,0.295359,G,0.719808,0.935557,-1,-0.074403
1.047728,-0.045135,-33,-0.198694,O,-0.703413,-0.228873,0.5,0.276907
1.05091,0.058765,0,-0.100563,D,-0.3,0.923866,1,0.634951
1.095054,0.122833,33,0.003885,O,-0.762701,-0.383022,0.5,0.985701
1.104278,0.122951,36,0.004917,O,-0.80627,-0.496302,0.5,0.981776
1.079655,0.104933,24,0.351153,O,-0.611007,0.011381,0.5,-0.278999
1.047552,0.011761,-15,0.254739,G,0.451281,0.519588,-1,0.073558
1.075206,0.105394,24,-0.348823,O,-0.640799,-0.066077,0.5,-0.268406
1.049006,-0.021335,-27,-0.002191,O,-0.572767,0.110806,0.5,0.989859
1.045533,0.027247,-12,-0.503588,G,1,0.653683,-1,-0.833329
1.097633,0.117904,33,0.253699,O,-0.746119,-0.33991,0.5,0.079221
1.073219,0.105121,21,0.204477,O,-0.559194,0.146095,0.5,0.259412
1.048928,0.034937,-9,-0.39768,G,1,0.769803,-1,-0.44797
1.058668,0.08258,12,0.396582,G,1,0.515773,-1,-0.444545
1.050561,0.03324,-9,-0.397987,G,1,0.858003,-1,-0.44727
1.042509,-0.006362,-21,-0.346531,R,-0.4,0.36139,0.846956,-0.261659
1.083977,0.10978,27,0.445084,O,-0.66068,-0.117767,0.5,-0.620127
1.050594,-0.045164,-33,-0.102681,O,-0.695557,-0.208449,0.5,0.624039
1.106173,0.121125,36,0.501984,O,-0.794074,-0.464591,0.5,-0.826173
1.042187,0.014661,-15,-0.054721,G,1,0.510129,-1,0.801391
1.04961,0.058452,0,0.250842,G,0.59427,0.953568,-1,0.088353
1.017266,0.067954,-15,-0.053462,R,-0.4,0.380313,0.553413,0.805771
1.038584,0.129797,3,-0.304631,G,0.298122,0.844525,-1,-0.107402
1.046148,0.065809,0.000000,-0.499012,G,0.929748,0.965515,-0.464874,-0.815849
1.064132,0.080832,10.000000,-0.051078,G,0.777174,0.559711,-0.388587,0.811991
1.089158,0.108725,28.000000,-0.298108,O,-0.675019,-0.155048,0.798042,-0.083790
1.092820,0.170593,24.000000,0.197286,O,-0.596596,0.048851,0.302785,0.282856
1.068187,0.088680,14.000000,0.195037,G,1.000000,0.434104,-0.761029,0.290424
1.078495,0.107978,22.000000,-0.200507,O,-0.564087,0.133374,0.699848,0.273281
1.049769,-0.044957,-34.000000,-0.503452,O,-0.697109,-0.212484,-0.003273,-0.830084
1.074130,0.100893,20.000000,0.401011,L,-0.400000,0.244078,0.099382,-0.456792
1.073856,0.159018,14.000000,-0.097154,L,-0.400000,0.388019,0.597387,0.645864
1.102052,0.117874,34.000000,0.454629,O,-0.749923,-0.349800,0.045736,-0.651868
1.040406,-0.003573,-20.000000,0.096298,R,-0.400000,0.377288,0.596698,0.648371
1.076046,0.099712,22.000000,-0.446003,O,-0.572081,0.112590,0.945678,-0.620647
1.054162,-0.042740,-34.000000,-0.204121,O,-0.732653,-0.304898,0.296004,0.258196
1.082721,0.108067,24.000000,-0.254723,O,-0.624874,-0.024673,0.755221,0.071923
1.042949,0.007442,-16.000000,-0.402736,G,1.000000,0.472856,-0.929661,-0.463698
1.047406,0.057066,-2.000000,0.298143,G,0.531193,0.966774,-0.265597,-0.086628
1.042191,0.038916,-8.000000,-0.149866,G,0.775442,0.761182,-0.387721,0.458533
1.053797,0.057505,0.000000,0.247607,G,0.664353,0.915602,-0.332176,0.098989
1.039331,-0.012823,-22.000000,0.495559,O,-0.547780,0.175771,0.996325,-0.804817
1.046863,-0.005341,-22.000000,-0.099597,R,-0.400000,0.251093,0.400323,0.637538
1.100165,0.129007,36.000000,-0.097381,O,-0.802507,-0.486519,0.597204,0.646530
1.048958,-0.018954,-26.000000,-0.152859,O,-0.592411,0.059731,0.346627,0.442281
1.047197,0.040282,-8.000000,-0.197074,G,0.743547,0.825375,-0.371773,0.283096
1.040885,0.014581,-14.000000,0.251025,G,0.432631,0.532639,-0.216316,0.087109
1.044688,-0.000938,-18.000000,0.298116,G,0.600298,0.401630,-0.300149,-0.084438
1.054103,-0.033836,-30.000000,-0.354495,O,-0.638354,-0.059720,0.145375,-0.289546
1.075449,0.108233,24.000000,0.047075,O,-0.587678,0.072038,0.453050,0.829271
1.054611,0.063884,0.000000,0.302688,G,0.795259,0.905112,-0.397629,-0.100878
1.076292,0.103779,22.000000,-0.002965,L,-0.400000,0.265788,0.502489,0.990950
1.057786,0.148006,10.000000,0.103173,G,1.000000,0.594114,-0.509095,0.624695
1.048554,-0.013279,-24.000000,0.403850,O,-0.550261,0.169321,0.904145,-0.469618
1.047298,-0.006559,-20.000000,0.297404,R,-0.400000,0.381601,0.797283,-0.081028
1.049993,-0.019869,-24.000000,0.396769,R,-0.400000,0.224790,0.897229,-0.444470
1.042367,0.003503,-18.000000,-0.504220,G,1.000000,0.424446,-1.000000,-0.835182
1.100126,0.124319,36.000000,-0.098252,O,-0.827393,-0.551221,0.599772,0.637194
1.060578,0.090209,14.000000,0.154593,G,1.000000,0.434888,-0.718959,0.440555
1.046595,0.009940,-16.000000,-0.198337,G,1.000000,0.509631,-0.689436,0.276120
1.042322,-0.022632,-26.000000,-0.496616,O,-0.576035,0.102310,0.003605,-0.805071
1.051625,0.047428,-6.000000,0.250795,G,0.244930,0.871507,-0.122465,0.087428
1.047402,0.005221,-16.000000,-0.002022,G,0.973268,0.515445,-0.486634,0.992440
1.041916,-0.006178,-20.000000,-0.001687,R,-0.400000,0.260597,0.498665,0.995147
0.998576,0.002921,-34.000000,0.298814,O,-0.723689,-0.281592,0.798251,-0.084550
1.038869,0.002753,-18.000000,0.252475,R,-0.400000,0.353937,0.752698,0.081098
1.009774,0.035604,-26.000000,-0.203013,O,-0.624374,-0.023372,0.296716,0.260787
1.053759,0.070528,6.000000,-0.347149,D,-0.300000,0.746045,1.000000,-0.263767
1.071714,0.103895,20.000000,0.445590,L,-0.400000,0.284859,0.054529,-0.619894
1.047095,0.138574,6.000000,-0.149272,G,0.347202,0.676961,-0.173601,0.456588
1.070049,0.103289,20.000000,-0.502489,L,-0.400000,0.248510,1.002300,-0.826545
1.036793,0.135276,2.000000,-0.445653,G,0.648138,0.878225,-0.324069,-0.621251
1.052232,0.052555,-2.000000,0.403202,G,0.810245,0.998022,-0.405123,-0.465979
1.046599,-0.031420,-28.000000,-0.502473,O,-0.585703,0.077173,-0.002509,-0.827306
1.076974,0.104279,20.000000,0.250769,O,-0.566356,0.127474,0.248911,0.086948
1.099737,0.119443,34.000000,-0.152840,O,-0.762216,-0.381763,0.652947,0.443830
1.050912,0.058832,-2.000000,0.198046,G,0.298503,0.951966,-0.149252,0.282598
1.049125,-0.044048,-34.000000,0.246766,O,-0.717730,-0.266098,0.747036,0.101687
1.049300,-0.009368,-22.000000,0.403205,R,-0.400000,0.306380,0.903614,-0.467687
1.053328,0.147321,10.000000,0.202027,G,1.000000,0.556921,-0.645497,0.263935
1.044836,0.039846,-6.000000,-0.354963,G,1.000000,0.825875,-0.529313,-0.291592
1.041052,0.002653,-20.000000,0.148934,R,-0.400000,0.382659,0.648701,0.459270
1.043456,-0.022154,-28.000000,-0.102464,O,-0.658185,-0.111280,0.397475,0.627182
1.051670,0.066840,2.000000,-0.200916,D,-0.300000,0.838798,1.000000,0.269165
1.070443,0.098025,20.000000,-0.449901,L,-0.400000,0.238303,0.949875,-0.635908
1.003375,-0.000363,-34.000000,-0.097718,O,-0.714709,-0.258242,0.402128,0.644103
1.050428,-0.012686,-22.000000,0.301023,R,-0.400000,0.243054,0.800703,-0.093465
1.029075,0.116245,-4.000000,-0.048175,D,-0.300000,0.938056,1.000000,0.824254
